Source,Target,Type,Id,Label,Weight
Sehwan_Oh_530523106,Tongyo_Han_100002543604820,Undirected,2301,,1
Sehwan_Oh_530523106,Byungjoon_Yoo_100003837286675,Undirected,2677,,1
Young_Eun_Yoon_530537901,Hyunsim_Kang_100001425124196,Undirected,1706,,1
Young_Eun_Yoon_530537901,Bae_Tae_Kwan_100001584130182,Undirected,1818,,1
Young_Eun_Yoon_530537901,Jaewoo_Kim_100001632240746,Undirected,1865,,1
Young_Eun_Yoon_530537901,Go_Eun_Park_100001880594539,Undirected,2083,,1
Young_Eun_Yoon_530537901,????????????????????_100001936176701,Undirected,2123,,1
Young_Eun_Yoon_530537901,Changhun_Lee_100002651714571,Undirected,2401,,1
Wenchang_Ma_530553996,Karim_Traboulsi_13621246,Undirected,129,,1
Wenchang_Ma_530553996,Sally_G_21010151,Undirected,166,,1
Wenchang_Ma_530553996,Muzi_Guo_21012401,Undirected,186,,1
Wenchang_Ma_530553996,Jennifer_Law_21014079,Undirected,202,,1
Wenchang_Ma_530553996,Laura_Buhler_120601075,Undirected,248,,1
Wenchang_Ma_530553996,Daniela_Sh_506567418,Undirected,300,,1
Wenchang_Ma_530553996,Daisy_Kong_507788438,Undirected,314,,1
Wenchang_Ma_530553996,Rab_Freiha_509987108,Undirected,320,,1
Wenchang_Ma_530553996,Kitty_L_510810710,Undirected,347,,1
Wenchang_Ma_530553996,Itzel_Ram????rez_M._511465260,Undirected,355,,1
Wenchang_Ma_530553996,Chen_Xi_Catherine_517314461,Undirected,375,,1
Wenchang_Ma_530553996,Grace_Ga-Eun_Oh_1339907315,Undirected,945,,1
Jung_Hoon_Ha_536646362,Minjae_Gil_1122740349,Undirected,842,,1
Jung_Hoon_Ha_536646362,Hyunmin_Kim_1238972387,Undirected,901,,1
Jung_Hoon_Ha_536646362,Soyoung_Lee_1350369969,Undirected,952,,1
Jung_Hoon_Ha_536646362,?????????????????????_1415735909,Undirected,1030,,1
Jung_Hoon_Ha_536646362,Seungmin_Lee_1427463605,Undirected,1049,,1
Jung_Hoon_Ha_536646362,Yiwon_Song_1772077238,Undirected,1167,,1
Jung_Hoon_Ha_536646362,Won_Jae_Lee_100000069765934,Undirected,1199,,1
Jung_Hoon_Ha_536646362,Hyobin_Lee_100000182291798,Undirected,1235,,1
Jung_Hoon_Ha_536646362,Brian_Don-chic_Ko_100000307910699,Undirected,1270,,1
Jung_Hoon_Ha_536646362,Juyon_Julie_100000469454910,Undirected,1294,,1
Jung_Hoon_Ha_536646362,Jake_Lee_100000545593230,Undirected,1319,,1
Jung_Hoon_Ha_536646362,Jiyoon_No_100000547274511,Undirected,1321,,1
Jung_Hoon_Ha_536646362,????????????????????_100000692518718,Undirected,1337,,1
Jung_Hoon_Ha_536646362,Freyr_Van_Aesir_100000865188754,Undirected,1372,,1
Jung_Hoon_Ha_536646362,Chungsol_Lee_100001239028443,Undirected,1656,,1
Jung_Hoon_Ha_536646362,Ayou_Ovee_100001442166098,Undirected,1739,,1
Jung_Hoon_Ha_536646362,???????????????????_100001663429780,Undirected,1904,,1
Jung_Hoon_Ha_536646362,Semin_Kim_100001678627405,Undirected,1941,,1
Jung_Hoon_Ha_536646362,Jason_Jang_100001694458502,Undirected,1962,,1
Jung_Hoon_Ha_536646362,Kidong_Kim_100001733257299,Undirected,1993,,1
Jung_Hoon_Ha_536646362,Jason_Kim_100001870622832,Undirected,2074,,1
Jung_Hoon_Ha_536646362,Donghoon_Shin_100001891765121,Undirected,2102,,1
Jung_Hoon_Ha_536646362,Andrew_Kim_100002109906573,Undirected,2201,,1
Jung_Hoon_Ha_536646362,HWoo_Jung_100002295520839,Undirected,2238,,1
Jung_Hoon_Ha_536646362,Hyoeun_Lew_100002383544059,Undirected,2258,,1
Jung_Hoon_Ha_536646362,Ken__Ko_100002621077930,Undirected,2383,,1
Jung_Hoon_Ha_536646362,Jake__Lee_100002627613128,Undirected,2390,,1
Jung_Hoon_Ha_536646362,Romano__Kieri_100002631841801,Undirected,2395,,1
Jung_Hoon_Ha_536646362,Minyoung__KI_100002976351370,Undirected,2507,,1
Steph_Chi_540587780,Sagar_Bhadra_10503828,Undirected,107,,1
